user_id,first_order_day,most_used_city,count_cuisines,voucher_user,voucher_amount,member_get_member_viral,average_order_value,cnt_orders_7d_fwd,cnt_orders_14d_fwd,cnt_orders_30d_fwd,cnt_orders_60d_fwd,cnt_orders_90d_fwd,cnt_orders_6m_fwd
3139234,19/04/2016,London,4,0,,,28.48656,1,2,5,8,9,9
998686,16/11/2015,London,1,0,,,38.28,1,1,1,1,1,1
1567482,14/01/2016,London,2,0,,,19.39992,1,1,1,2,2,3
1774998,06/02/2016,London,3,0,,,30.82992,2,2,4,11,12,12
272320,14/06/2015,London,4,0,,,24.108,1,1,1,1,3,7
3197732,22/04/2016,London,1,0,,,38.04,1,1,1,1,1,1
1508332,08/01/2016,London,9,0,,,30,1,1,4,8,10,12
2878744,04/04/2016,London,1,0,,,28.74,1,1,2,2,2,2
2054078,18/02/2016,London,1,0,,,31.005,2,2,3,4,4,4
442982,13/08/2015,London,2,0,,,18.81,1,1,1,1,1,2
4369344,16/06/2016,London,1,0,,,14.76,2,2,2,2,2,2
5054682,12/07/2016,London,1,0,,,21,1,1,1,1,1,1
888806,01/11/2015,London,7,0,,,30.42828,1,2,2,3,3,10
4856350,05/07/2016,London,1,0,,,10.74,1,1,1,1,1,1
1898704,06/03/2016,Manchester,3,1,2.5,0,33.73992,3,3,3,3,3,3
768554,17/10/2015,London,1,1,10,0,19.2,1,1,1,1,1,1
651204,30/09/2015,London,2,0,,,41.97,2,2,2,2,2,2
4459206,19/06/2016,London,1,0,,,53.46,1,1,1,1,1,1
782328,18/10/2015,London,6,0,,,31.035,1,1,1,5,5,8
915306,05/11/2015,London,2,1,10,0,28.56,1,1,1,1,1,1
1685770,23/01/2016,London,1,0,,,36.57,2,2,2,2,2,2
1454230,02/01/2016,Manchester,1,0,,,18.9,1,1,1,1,1,1
536344,05/09/2015,London,1,0,,,54.48,1,1,1,1,1,1
1388452,23/12/2015,London,1,0,,,87.9,1,1,1,1,1,1
1656628,22/01/2016,London,1,0,,,24.84,1,1,1,1,1,1
491860,27/08/2015,London,3,0,,,34.89996,2,2,3,3,3,3
416344,04/08/2015,London,1,0,,,32.4,1,1,1,1,1,1
293886,25/06/2015,London,2,0,,,96.78,1,1,1,1,1,1
2460938,12/03/2016,London,1,0,,,18.6,1,1,1,1,1,1
579078,15/09/2015,London,1,0,,,19.68,2,2,2,2,2,2
3850076,22/05/2016,London,2,0,,,48.15,1,2,2,2,2,2
615616,23/09/2015,London,1,0,,,29.7,1,1,1,1,1,1
1818718,02/02/2016,London,1,0,,,31.02,1,1,1,1,1,1
907818,04/11/2015,London,1,0,,,29.16,1,1,1,1,1,1
2611772,02/06/2016,London,1,0,,,19.08,1,1,1,1,1,1
824210,22/11/2015,London,2,1,10,0,18.79992,1,1,1,1,1,1
2134976,23/02/2016,London,8,0,,,23.51496,4,5,6,7,7,12
3966880,25/06/2016,London,1,0,,,19.26,1,1,1,1,1,1
2750464,11/05/2016,London,1,0,,,29.65992,1,1,1,3,3,3
4716726,30/06/2016,London,1,0,,,21.24,1,1,1,1,1,1
2622794,21/03/2016,London,1,0,,,76.5,1,1,1,1,1,1
2510228,15/03/2016,London,1,0,,,40.08,1,1,1,3,3,5
279528,18/06/2015,London,10,0,,,37.7712,1,1,1,2,4,6
4974090,09/07/2016,London,1,0,,,23.22,1,1,1,1,1,1
3895388,25/05/2016,London,1,0,,,18.54,1,1,1,1,1,1
1071460,22/11/2015,London,7,0,,,20.502,1,1,1,1,1,8
758242,16/10/2015,London,1,1,10,0,36.48,1,1,1,1,1,1
1172200,03/12/2015,Manchester,1,0,,,27.48,1,1,1,1,1,1
494072,28/08/2015,London,1,1,10,0,24.31992,1,2,2,2,2,2
2333634,10/04/2016,London,1,0,,,53.28,1,1,1,1,1,1
504058,30/08/2015,London,4,0,,,49.45704,1,1,1,1,3,5
1781144,30/01/2016,London,1,0,,,19.38,1,1,1,1,1,1
4631390,26/06/2016,Manchester,2,0,,,46.008,2,2,2,2,2,2
1472606,03/01/2016,London,3,0,,,19.62,2,2,3,3,3,3
3174418,19/05/2016,London,1,0,,,25.8,1,1,1,1,1,1
4380406,16/06/2016,London,1,0,,,15.024,1,1,1,1,1,1
840508,26/10/2015,London,1,0,,,25.2,1,1,1,1,1,1
457788,17/08/2015,London,5,0,,,30.915,3,4,7,8,8,8
254972,06/06/2015,London,2,0,,,25.152,1,1,1,1,2,2
1756094,29/01/2016,London,5,0,,,26.46492,1,1,1,3,6,12
431686,03/09/2015,London,4,0,,,26.22996,1,1,1,1,1,2
2490490,16/04/2016,London,3,0,,,70.38,4,4,4,4,4,4
377372,24/07/2015,London,6,0,,,47.21784,2,2,5,9,13,16
814886,23/10/2015,London,1,0,,,31.14,1,1,1,1,1,1
889648,01/11/2015,London,6,0,,,36.75,1,2,2,6,8,10
1064120,06/12/2015,Manchester,5,0,,,49.704,1,1,1,1,2,4
764992,17/10/2015,London,2,0,,,23.73,1,1,2,2,2,2
3224836,23/04/2016,London,1,0,,,34.38,1,1,1,2,3,3
268368,13/06/2015,London,6,0,,,17.09076,1,1,2,3,3,7
496638,28/08/2015,London,8,0,,,27.6282,6,7,9,10,11,15
2106660,21/02/2016,London,1,0,,,21.6,1,1,1,1,1,1
4698334,29/06/2016,Manchester,1,0,,,35.76,1,1,1,1,1,1
1283500,13/12/2015,Manchester,1,0,,,43.02,1,1,1,1,1,1
875002,31/10/2015,London,1,0,,,35.7,1,1,1,2,2,2
979964,13/11/2015,London,3,0,,,21.43704,1,1,2,2,3,3
2528788,07/04/2016,London,4,0,,,20.14284,1,1,1,5,7,7
2892228,12/04/2016,Manchester,4,0,,,21.3,2,4,4,9,10,10
2657412,23/03/2016,London,1,0,,,19.89996,1,2,2,2,2,3
2493744,15/03/2016,London,4,0,,,27.03,1,1,1,1,3,4
291346,24/06/2015,London,1,0,,,19.98,1,1,1,1,1,1
1981112,13/02/2016,London,3,0,,,23.604,1,1,1,1,2,5
3631630,13/05/2016,London,1,0,,,39.6,1,1,1,1,1,1
3802842,21/05/2016,London,1,0,,,22.74,1,1,1,1,1,1
3909956,26/05/2016,London,6,0,,,55.64724,9,11,11,11,11,11
1586700,16/01/2016,London,1,0,,,17.94,1,1,1,1,1,1
1504998,08/01/2016,London,2,0,,,47.43,1,1,1,2,2,2
3043516,14/04/2016,London,2,0,,,33.828,2,3,4,5,5,5
986464,14/11/2015,London,3,0,,,28.53996,1,1,1,1,2,3
4223866,09/06/2016,London,1,0,,,18.684,1,1,1,1,1,1
1717404,27/01/2016,Manchester,2,0,,,85.11,2,2,2,2,2,2
1440570,01/01/2016,London,2,0,,,57.93,1,1,1,1,1,2
2837740,02/04/2016,London,1,0,,,18.456,1,1,1,1,1,1
531746,05/09/2015,London,1,1,10,0,6.12,1,1,1,1,1,1
661848,02/10/2015,London,2,0,,,32.01,1,1,1,1,1,2
2367960,07/03/2016,London,1,0,,,20.04,1,1,1,1,1,1
1444096,01/01/2016,London,5,0,,,35.07192,1,1,1,4,6,12
761602,17/10/2015,London,6,1,10,0,21.54,1,1,1,2,6,13
4739748,01/07/2016,London,1,0,,,31.62,1,1,1,1,1,1
2170780,25/02/2016,London,1,0,,,32.34,2,2,2,2,2,2
2495928,14/03/2016,London,1,0,,,28.08,1,1,1,1,1,1
2247002,02/03/2016,London,2,0,,,18.45264,1,1,1,1,6,11
2711150,26/03/2016,London,1,0,,,57.24,1,1,1,1,1,1
1570284,15/01/2016,London,1,0,,,78,1,1,1,1,1,1
4516430,21/06/2016,London,1,0,,,22.08,1,1,1,1,1,1
2055486,18/02/2016,London,2,0,,,48.91992,1,1,1,3,3,3
1509802,08/01/2016,Manchester,2,0,,,24,1,1,1,1,1,2
1049178,21/11/2015,London,1,0,,,22.38,1,1,1,1,1,1
1697932,24/01/2016,London,4,0,,,43.185,1,1,1,1,1,4
1790226,31/01/2016,London,1,0,,,19.02,1,1,1,1,1,1
3073254,16/04/2016,London,2,0,,,26.07,1,1,1,2,2,2
997504,15/11/2015,London,3,0,,,19.716,1,1,1,1,1,3
845004,27/10/2015,London,1,1,10,0,18.6,1,1,1,1,1,1
2834456,25/04/2016,London,1,0,,,18.48,1,1,1,1,1,1
413176,02/08/2015,London,1,0,,,36.21,1,1,1,1,1,1
906226,04/11/2015,London,11,0,,,54.39756,4,8,16,32,40,43
3913838,26/05/2016,London,1,0,,,13.8,1,1,1,1,1,1
905078,03/11/2015,Manchester,6,0,,,30.71136,1,1,1,2,3,6
4331934,14/06/2016,London,1,0,,,14.4,1,1,1,1,1,1
4174050,10/06/2016,Manchester,1,0,,,19.14,1,1,1,1,1,1
786518,19/10/2015,Manchester,1,0,,,25.98,1,1,1,1,1,1
375994,23/07/2015,London,7,0,,,37.06428,1,1,1,1,2,7
4703308,29/06/2016,London,1,0,,,21.48,1,1,1,1,1,1
4834526,04/07/2016,London,2,0,,,39.648,4,5,5,5,5,5
2926934,08/04/2016,London,6,0,,,40.35732,1,1,2,5,6,9
2354490,06/03/2016,London,1,0,,,19.2,1,1,1,1,1,1
990806,14/11/2015,Manchester,1,0,,,32.784,1,1,1,1,1,1
2781144,17/04/2016,London,6,0,,,16.64844,2,5,12,26,27,27
1362732,20/12/2015,Manchester,1,0,,,18.12,1,1,1,2,2,2
4460472,19/06/2016,London,2,0,,,22.05,2,2,2,2,2,2
533748,05/09/2015,London,4,0,,,34.54992,1,1,1,1,1,3
4898638,07/07/2016,London,1,0,,,51,1,1,1,1,1,1
4154484,05/06/2016,Manchester,1,0,,,37.14,1,1,1,1,1,1
758862,06/11/2015,London,2,1,10,0,52.2,1,1,1,1,2,2
2292240,09/03/2016,London,3,0,,,25.84992,1,3,7,8,8,12
3255064,16/07/2016,London,1,0,,,20.34,1,1,1,1,1,1
1565388,14/01/2016,London,1,0,,,25.32,1,1,1,1,1,1
707094,10/10/2015,London,1,0,,,22.788,1,1,1,1,1,1
5202650,17/07/2016,London,1,0,,,22.62,1,1,1,1,1,1
1245858,10/12/2015,London,1,0,,,33.6,1,1,1,1,1,1
588622,09/06/2016,London,3,0,,,23.23992,2,3,3,3,3,3
406840,01/08/2015,London,16,0,,,30.17328,5,8,15,23,35,60
1172086,03/12/2015,London,1,0,,,27.19992,1,1,1,2,3,3
1460146,02/01/2016,London,2,0,,,26.709,3,3,3,3,3,3
3036226,14/04/2016,London,3,0,,,28.50996,1,2,3,5,6,6
2197066,27/02/2016,Manchester,1,0,,,34.2,1,1,1,1,1,1
3248358,24/04/2016,Manchester,1,0,,,33,1,1,1,1,1,1
290722,23/06/2015,London,1,0,,,29.25,1,1,1,1,1,1
